Codigo,Nombre,Dias,Horas,Creditos,Semestre
C001,Alg Adva,"lunes,miercoles,viernes","7-9,7-9,7-8",4,6
C002,Fisic II,"lunes,miercoles,viernes","9-11,9-11,9-10",4,6
C003,Estr Ava,"lunes,miercoles,viernes","11-13,11-13,11-12",4,6
C004,Calcu II,"martes,jueves,viernes","7-9,7-9,8-9",4,6
C005,Mode Mat,"martes,jueves,viernes","9-11,9-11,10-11",4,6
C006,Alg Line,"martes,jueves,viernes","11-13,11-13,12-1",4,6
C007,Alg Adva,"lunes,miercoles,viernes","13-15,13-15,13-14",3,6
C008,Calcu II,"martes,jueves,viernes","13-15,13-15,14-15",4,7
C009,Especi I,"lunes,miercoles,viernes","13-15,13-15,15-16",3,7
C010,Espec II,"martes,jueves,viernes","15-17,15-17,16-17",4,5
C011,Espe III,"lunes,miercoles,viernes","15-17,15-17,17-18",3,5
C012,Lengu I,"martes,jueves,viernes","17-19,17-19,18-19",4,6
C013,Leng II,"lunes,miercoles,viernes","13-15,13-15,15-16",3,7
C014,Tick II,"martes,jueves,viernes","15-17,15-17,16-17",4,7
015,Tick III,"lunes,miercoles,viernes","15-17,15-17,17-18",3,7
C016,Comp II,"martes,jueves,viernes","13-15,13-15,14-15",4,8
C017,Alg Line,"lunes,miercoles,viernes","13-15,13-15,15-16",3,6
C018,Mat Dicr,"martes,jueves,viernes","15-17,15-17,16-17",4,6
C019,Compil I,"lunes,miercoles,viernes","15-17,15-17,17-18",3,6
C020,MicroPro,"martes,jueves,viernes","13-15,13-15,14-15",4,6
